epoch,lr,train_loss,train_mae,val_loss,val_mae,val_rmse,epoch_time_sec
1,0.0013333333333333333,35.538765335083006,36.038765335083006,37.45954132080078,37.95954132080078,41.04949188232422,18.045
2,0.002,35.330300903320314,35.830300903320314,38.225276947021484,38.725276947021484,41.64828109741211,1.596
3,0.002,34.84633026123047,35.34633026123047,37.12119674682617,37.62119674682617,40.65449905395508,1.54
4,0.0019996395276708854,34.09719390869141,34.59719390869141,35.54451370239258,36.04451370239258,39.19990921020508,1.513
5,0.0019985583705641415,33.27031364440918,33.77031364440918,34.63519287109375,35.13519287109375,38.368629455566406,1.592
6,0.00199675730813421,32.60346794128418,33.10346794128418,34.27012634277344,34.77012634277344,38.03446960449219,1.59
7,0.001994237638847428,32.43881378173828,32.93881378173828,33.70044708251953,34.20044708251953,37.513587951660156,1.628
8,0.0019910011792459085,31.879151916503908,32.37915191650391,33.99333572387695,34.49333572387695,37.77028274536133,1.663
9,0.001987050262637913,30.937341690063477,31.437341690063477,34.3897705078125,34.8897705078125,38.29683303833008,1.641
10,0.0019823877374156645,30.120239448547363,30.620239448547363,32.12323760986328,32.62323760986328,36.09422302246094,1.641
11,0.001977016965001817,29.29043025970459,29.79043025970459,30.57158851623535,31.07158851623535,34.68471145629883,1.7
12,0.001970941817426052,28.500881004333497,29.000440406799317,29.6405086517334,30.129240036010742,33.8447151184082,1.545
13,0.0019641666745335625,27.611692428588867,28.103271865844725,28.835371017456055,29.329742431640625,33.08994674682617,1.62
14,0.0019566964208274254,26.765729331970213,27.25625076293945,28.325498580932617,28.825498580932617,32.58401107788086,1.543
15,0.0019485364419471454,26.166650772094727,26.666553497314453,27.633350372314453,28.133350372314453,31.9057674407959,1.499
16,0.0019396926207859084,25.411621284484863,25.911621284484863,27.1840877532959,27.6840877532959,31.580801010131836,1.511
17,0.0019301713332493386,24.588281631469727,25.088281631469727,26.315229415893555,26.815229415893555,30.638151168823242,1.554
18,0.0019199794436588243,24.299475860595702,24.79945182800293,25.903532028198242,26.403532028198242,30.165441513061523,1.526
19,0.0019091242998027238,23.251877975463866,23.74873104095459,26.16985511779785,26.66985511779785,30.267229080200195,1.606
20,0.0018976137276390142,22.480695533752442,22.97890682220459,25.95953941345215,26.45953941345215,30.489715576171875,1.538
21,0.0018854560256532098,21.69703617095947,22.196778297424316,24.513051986694336,25.013051986694336,29.15198516845703,1.642
22,0.0018726599588756144,21.087500190734865,21.587500190734865,23.157176971435547,23.657176971435547,27.776968002319336,1.62
23,0.001859234752562217,20.425543785095215,20.925391006469727,37.292015075683594,37.792015075683594,42.4725456237793,1.794
24,0.001845190085543795,19.688102340698244,20.181250762939452,27.963016510009766,28.463016510009766,31.67988395690918,1.759
25,0.0018305360832480118,19.014125633239747,19.50927791595459,20.461484909057617,20.959829330444336,25.151988983154297,1.733
26,0.0018152833103995444,18.47594223022461,18.97480525970459,19.934938430786133,20.417028427124023,24.617122650146484,1.627
27,0.0017994427634035013,17.90577621459961,18.40009822845459,19.5378360748291,20.001157760620117,24.177797317504883,1.557
28,0.0017830258624176223,17.43145160675049,17.925586223602295,19.719654083251953,20.207735061645508,24.435331344604492,1.491
29,0.001766044443118978,16.79230079650879,17.291015911102296,18.65900230407715,19.15900230407715,23.131698608398438,1.554
30,0.001748510748171101,16.26028347015381,16.756836795806883,18.072559356689453,18.572559356689453,22.40001678466797,1.478
