epoch,lr,train_loss,train_mae,val_loss,val_mae,val_rmse,epoch_time_sec
1,0.0006000000000000001,36.77888412475586,37.27888412475586,31.129377365112305,31.629377365112305,35.15752029418945,15.914
2,0.0009,36.74343643188477,37.24343643188477,31.096078872680664,31.596078872680664,35.12555694580078,0.718
3,0.0012000000000000001,36.66312446594238,37.16312446594238,31.04863929748535,31.54863929748535,35.080230712890625,0.862
4,0.0015,36.460541534423825,36.960541534423825,31.003950119018555,31.503950119018555,35.037288665771484,0.67
5,0.0015,36.096339797973634,36.596339797973634,30.976987838745117,31.476987838745117,35.01055908203125,0.659
6,0.0014998239735138632,35.68332939147949,36.18332939147949,30.9807186126709,31.4807186126709,35.01166534423828,0.661
7,0.0014992959766829826,35.26599273681641,35.76599273681641,31.018606185913086,31.518606185913086,35.043548583984375,0.65
8,0.0014984162573511634,34.879664993286134,35.379664993286134,31.088607788085938,31.588607788085938,35.104331970214844,0.671
9,0.001497185228462146,34.563303565979005,35.0633041381836,31.189472198486328,31.689472198486328,35.19329833984375,0.603
10,0.0014956034678657696,33.8338020324707,34.3338020324707,31.302093505859375,31.802093505859375,35.293113708496094,0.633
11,0.0014936717180467271,33.3869026184082,33.8869026184082,31.420263290405273,31.920263290405273,35.398380279541016,0.634
12,0.0014913908857760387,33.0578010559082,33.5578010559082,31.55399513244629,32.05399703979492,35.51804733276367,0.578
13,0.0014887620416854114,32.62947578430176,33.12947578430176,31.702646255493164,32.2026481628418,35.65131759643555,0.616
14,0.0014857864197646794,32.37092399597168,32.87092399597168,31.872516632080078,32.37251663208008,35.8036994934082,0.599
15,0.001482465416782565,31.675904083251954,32.17590408325195,32.043434143066406,32.543434143066406,35.95744705200195,0.589
16,0.0014788005916310293,31.101271057128905,31.601271057128905,32.21693420410156,32.71693420410156,36.11378860473633,0.596
17,0.0014747936645935218,30.338599014282227,30.838599014282227,32.382972717285156,32.882972717285156,36.263526916503906,0.584
18,0.001470446516537474,29.816540908813476,30.316431045532227,32.55085372924805,33.05085372924805,36.415225982666016,0.59
19,0.001465761188031411,29.19162654876709,29.68803768157959,32.71467208862305,33.21467208862305,36.56352996826172,0.6
20,0.001460739878387102,28.717575073242188,29.21533203125,32.88025665283203,33.38025665283203,36.713802337646484,0.616
21,0.001455384944627193,27.952490997314452,28.452490997314452,33.04033660888672,33.54033660888672,36.85943603515625,0.588
22,0.001449698900378813,27.310254669189455,27.810254669189455,33.182987213134766,33.682987213134766,36.98966979980469,0.583
23,0.0014436844146936668,26.62963924407959,27.12963924407959,33.3068733215332,33.8068733215332,37.103294372558594,0.613
24,0.0014373443107951695,25.899512481689452,26.399512481689452,33.41934585571289,33.91934585571289,37.20677185058594,0.593
25,0.0014306815647532178,25.32334041595459,25.82334041595459,33.5129280090332,34.0129280090332,37.293121337890625,0.603
