epoch,lr,train_loss,train_mae,val_loss,val_mae,val_rmse,epoch_time_sec
1,0.0006000000000000001,35.997664260864255,36.497664260864255,37.176475524902344,37.676475524902344,40.739959716796875,16.046
2,0.0009,35.97361526489258,36.47361526489258,37.12595748901367,37.62595748901367,40.69111251831055,0.658
3,0.0012000000000000001,35.920667839050296,36.420667839050296,37.0423583984375,37.5423583984375,40.61077117919922,0.663
4,0.0015,35.80078964233398,36.30078964233398,36.93104553222656,37.43104553222656,40.504146575927734,0.634
5,0.0015,35.56535873413086,36.06535873413086,36.80559158325195,37.30559158325195,40.38368225097656,0.664
6,0.0014998239735138632,35.187544441223146,35.687544441223146,36.67734909057617,37.17734909057617,40.259971618652344,0.671
7,0.0014992959766829826,34.85285758972168,35.35285758972168,36.56034469604492,37.06034469604492,40.146331787109375,0.627
8,0.0014984162573511634,34.368221282958984,34.868221282958984,36.47066879272461,36.97066879272461,40.057769775390625,0.669
9,0.001497185228462146,33.93759956359863,34.43759956359863,36.40534210205078,36.90534210205078,39.992130279541016,0.652
10,0.0014956034678657696,33.92918014526367,34.42918014526367,36.33781051635742,36.83781051635742,39.92497634887695,0.624
11,0.0014936717180467271,33.10300464630127,33.60300464630127,36.26771926879883,36.76771926879883,39.856143951416016,0.617
12,0.0014913908857760387,32.70601921081543,33.20601921081543,36.18978500366211,36.68978500366211,39.78063201904297,0.64
13,0.0014887620416854114,32.12949333190918,32.62949333190918,36.1039924621582,36.6039924621582,39.698692321777344,0.626
14,0.0014857864197646794,31.55031852722168,32.05031852722168,36.0299186706543,36.5299186706543,39.62801742553711,0.621
15,0.001482465416782565,31.112378883361817,31.612378883361817,35.955474853515625,36.455474853515625,39.557212829589844,0.613
16,0.0014788005916310293,30.5892578125,31.0892578125,35.881874084472656,36.381874084472656,39.48731994628906,0.63
17,0.0014747936645935218,29.912744522094727,30.412744522094727,35.80434799194336,36.30434799194336,39.41355895996094,0.709
18,0.001470446516537474,29.296045303344727,29.796045303344727,35.7278938293457,36.2278938293457,39.34086990356445,0.672
19,0.001465761188031411,28.80675678253174,29.305176734924316,35.62209701538086,36.12209701538086,39.24101638793945,0.635
20,0.001460739878387102,28.135978317260744,28.62236385345459,35.51601791381836,36.01601791381836,39.14104080200195,0.651
21,0.001455384944627193,27.501250076293946,27.98955135345459,35.420082092285156,35.920082092285156,39.05080795288086,0.623
22,0.001449698900378813,26.846961402893065,27.342481231689455,35.32820129394531,35.82820129394531,38.96483612060547,0.631
23,0.0014436844146936668,26.270779037475585,26.76450252532959,35.24131774902344,35.74131774902344,38.884498596191406,0.59
24,0.0014373443107951695,25.466897773742676,25.963379287719725,35.14820098876953,35.64820098876953,38.79902648925781,0.618
25,0.0014306815647532178,24.604067230224608,25.097461700439453,35.030738830566406,35.53073501586914,38.69151306152344,0.626
26,0.0014236993040872084,23.813739585876466,24.309863471984862,34.899375915527344,35.399375915527344,38.571353912353516,0.592
27,0.0014164008062979684,22.989430046081544,23.48505973815918,34.776268005371094,35.276268005371094,38.459049224853516,0.595
28,0.0014087894973292849,22.56353187561035,23.062500190734863,34.64789962768555,35.14789962768555,38.34169006347656,0.598
29,0.001400868949959751,21.985553741455078,22.485059356689455,34.50365447998047,35.00365447998047,38.20920944213867,0.638
30,0.0013926428821256919,21.17569046020508,21.675635528564452,34.348873138427734,34.848873138427734,38.066871643066406,0.592
31,0.001384115155175949,20.55092849731445,21.05092849731445,34.19521713256836,34.69521713256836,37.92595291137695,0.583
32,0.0013752897720593477,20.13180046081543,20.627539825439452,34.05051803588867,34.55051803588867,37.79366683959961,0.654
33,0.0013661708754456987,19.27059965133667,19.7669189453125,33.91482162475586,34.41482162475586,37.6701774597168,0.651
34,0.0013567627457812105,18.491189002990723,18.981909561157227,33.79195785522461,34.29195785522461,37.55906677246094,0.624
35,0.0013470697992792329,19.138807106018067,19.6360725402832,33.6742057800293,34.1742057800293,37.452903747558594,0.608
36,0.0013370965858472668,17.130696868896486,17.629883193969725,33.564552307128906,34.064552307128906,37.3546028137207,0.618
37,0.0013268477869512218,16.483447551727295,16.977954387664795,33.464027404785156,33.964027404785156,37.26527786254883,0.598
38,0.0013163282134179156,16.032414627075195,16.526391887664794,33.37752914428711,33.87752914428711,37.189300537109375,0.593
39,0.0013055428031768543,15.212092971801757,15.70959529876709,33.30281448364258,33.80281448364258,37.12458419799805,0.595
40,0.0012944966189423481,14.494620990753173,14.985400772094726,33.235164642333984,33.735164642333984,37.06659698486328,0.599
41,0.001283194845837053,13.875325965881348,14.367041301727294,33.18385696411133,33.68385696411133,37.0237922668457,0.601
42,0.001271642788958054,13.378874492645263,13.865576457977294,33.14224624633789,33.64224624633789,36.9898567199707,0.624
43,0.001259845870886631,12.970888042449952,13.460180950164794,33.10512924194336,33.60512924194336,36.959999084472656,0.597
44,0.0012478096291428783,12.06322660446167,12.553711318969727,33.07477951049805,33.57477951049805,36.93632125854492,0.61
45,0.0012355397135863709,11.97747278213501,12.467920303344727,33.05278396606445,33.55278396606445,36.920284271240234,0.591
46,0.0012230418837640964,11.188228034973145,11.674609565734864,33.03202438354492,33.53202438354492,36.90529251098633,0.589
47,0.0012103220062069033,10.450612640380859,10.938135051727295,33.01381301879883,33.51381301879883,36.892635345458984,0.596
48,0.0011973860516757257,9.87196135520935,10.356201267242431,33.00217056274414,33.50217056274414,36.88609313964844,0.617
49,0.0011842400923588866,9.281697845458984,9.773877143859863,32.998775482177734,33.498775482177734,36.88722229003906,0.637
50,0.0011708902990217867,9.09859733581543,9.583545112609864,32.99822998046875,33.49822998046875,36.890872955322266,0.606
51,0.0011573429381103247,9.416686201095581,9.893945550918579,32.99642562866211,33.49642562866211,36.89326095581055,0.589
52,0.0011436043688094007,8.322989130020142,8.809131050109864,32.99504852294922,33.49504852294922,36.89592742919922,0.591
53,0.0011296810400578906,7.630878758430481,8.102295112609863,33.00107192993164,33.50107192993164,36.90531539916992,0.605
54,0.0011155794875214895,7.457123470306397,7.939697551727295,33.01092529296875,33.51092529296875,36.9180908203125,0.594
55,0.0011013063305248426,6.857325696945191,7.3325684547424315,33.02378463745117,33.52378463745117,36.93344497680664,0.597
56,0.0010868682689444094,7.262521171569825,7.7416994094848635,33.03571701049805,33.53571701049805,36.94775390625,0.596
57,0.001072272080063514,7.431850624084473,7.915771532058716,33.050140380859375,33.550140380859375,36.96419906616211,0.591
58,0.0010575246153910621,6.983229064941407,7.457763957977295,33.067359924316406,33.567359924316406,36.98302459716797,0.593
59,0.0010426327974454158,6.9016969203948975,7.378759813308716,33.085201263427734,33.585201263427734,37.00229263305664,0.708
60,0.0010276036165049358,6.468571758270263,6.942041063308716,33.10696029663086,33.60696029663086,37.02497482299805,0.609
61,0.0010124441273267164,5.786745595932007,6.244189596176147,33.130706787109375,33.630706787109375,37.04920959472656,0.604
62,0.0009971614458350554,5.878250217437744,6.364599704742432,33.15596389770508,33.65596389770508,37.074562072753906,0.614
63,0.0009817627457812106,5.301489782333374,5.779980707168579,33.18357467651367,33.68357467651367,37.101810455322266,0.599
64,0.0009662552553760133,5.075360679626465,5.558496189117432,33.212921142578125,33.712921142578125,37.13043975830078,0.603
65,0.0009506462538969158,4.691210699081421,5.166601610183716,33.24881362915039,33.74881362915039,37.16496276855469,0.591
66,0.0009349430682710717,4.7399486064910885,5.198095750808716,33.287017822265625,33.787017822265625,37.2015266418457,0.593
67,0.0009191530696360458,5.061377143859863,5.535937786102295,33.326202392578125,33.826202392578125,37.23896789550781,0.595
68,0.0009032836698797738,4.3806493282318115,4.869482469558716,33.36985397338867,33.86985397338867,37.28050994873047,0.583
69,0.0008873423181613921,4.3788334608078,4.857666254043579,33.417171478271484,33.917171478271484,37.32536315917969,0.596
70,0.0008713364974145737,5.122496199607849,5.60312511920929,33.46492385864258,33.96492385864258,37.37064743041992,0.591
71,0.0008552737208350084,3.6569958209991453,4.12851574420929,33.5141487121582,34.0141487121582,37.417236328125,0.585
72,0.0008391615283536799,5.011851978302002,5.4987794876098635,33.56292724609375,34.06292724609375,37.46337890625,0.593
